title,price_gbp,under_20
A Light in the Attic,51.77,False
Tipping the Velvet,53.74,False
Soumission,50.1,False
Sharp Objects,47.82,False
Sapiens: A Brief History of Humankind,54.23,False
The Requiem Red,22.65,False
The Dirty Little Secrets of Getting Your Dream Job,33.34,False
"The Coming Woman: A Novel Based on the Life of the Infamous Feminist, Victoria Woodhull",17.93,True
The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,22.6,False
The Black Maria,52.15,False
"Starving Hearts (Triangular Trade Trilogy, #1)",13.99,True
Shakespeare's Sonnets,20.66,False
Set Me Free,17.46,True
Scott Pilgrim's Precious Little Life (Scott Pilgrim #1),52.29,False
Rip it Up and Start Again,35.02,False
"Our Band Could Be Your Life: Scenes from the American Indie Underground, 1981-1991",57.25,False
Olio,23.88,False
Mesaerion: The Best Science Fiction Stories 1800-1849,37.59,False
Libertarianism for Beginners,51.33,False
It's Only the Himalayas,45.17,False
